STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,STDNT_MAJOR,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,CORE_COURSE_NAME_1_F,CORE_COURSE_GRADE_1_F,CORE_COURSE_NAME_2_F,CORE_COURSE_GRADE_2_F,CORE_COURSE_NAME_3_F,CORE_COURSE_GRADE_3_F,CORE_COURSE_NAME_4_F,CORE_COURSE_GRADE_4_F,SECOND_TERM,CORE_COURSE_NAME_1_S,CORE_COURSE_GRADE_1_S,CORE_COURSE_NAME_2_S,CORE_COURSE_GRADE_2_S,CORE_COURSE_NAME_3_S,CORE_COURSE_GRADE_3_S,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,FATHER_HI_EDU_CD,MOTHER_HI_EDU_CD,DEGREE_GROUP_CD,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED
18,M,BGD 6,Y,Biology,1110.0,201008,BIOL 1215K,A,COMM 1110,A,ENGL 1101,A,HIST 2111,A,201102,BIOL 1225K,A,CHEM 1211,A,CHEM 1211L,A,On Campus,1,150.0,2.4,3.0,3.0,B,17,13,17.0,17.0,0,0,0,0.0
18,F,BGD 1,N,Nursing,990.0,200508,CHEM 1151,A,CHEM 1151L,A,MATH 1111,A,CHEM 1151L,A,200602,HIST 2112,A,MUSC 1100,A,HIST 2112,A,Off Campus,1,0.0,3.71,2.0,2.0,B,12,12,13.0,13.0,567000,835680,268680,409500.0
18,F,BGD 3,Y,Nursing,910.0,200608,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,MATH 1101,A,200702,ENGL 1102,A,PSYC 1101,A,ENGL 1102,B,On Campus,1,138.0,3.72,3.0,3.0,B,12,12,13.0,13.0,0,1176420,1875240,-299160.0
18,F,BGD 1,Y,Undeclared,1300.0,200608,CHEM 1151,A,CHEM 1151L,A,ECON 2105,A,LEAD 1705,A,200702,COMM 1110H,A,ENGL 1102,A,MUSC 1100,A,On Campus,1,283.0,3.73,2.0,3.0,B,15,15,13.0,13.0,0,0,0,0.0
18,F,BGD 1,Y,Nursing,1190.0,200708,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,MATH 1111,A,200802,ARTH 1100,A,COMM 1110,A,ENGL 1102,A,Off Campus,1,69.0,3.5,3.0,3.0,B,13,13,16.0,16.0,0,1189920,5328600,-326880.0
18,F,BGD 1,Y,Pre-Nursing,590.0,200808,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,MATH 1101,A,200902,CPSC 1105,A,COMM 1110,A,ENGL 1102,A,Off Campus,0,69.0,3.12,2.0,2.0,B,15,15,15.0,15.0,0,0,0,0.0
18,F,BGD 1,Y,Pre-Nursing,1300.0,200808,CHEM 1151,A,CHEM 1151L,A,COMM 1110,A,HIST 2112,A,200902,ARTH 1100,A,ENGL 1102,A,PSYC 1101,A,Off Campus,1,69.0,4.0,3.0,2.0,B,15,15,17.0,17.0,0,403680,0,-529620.0
18,F,BGD 3,Y,Nursing,1110.0,200808,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,MATH 1111,A,200902,ARTH 1100,A,COMM 1110,A,ENGL 1102,A,On Campus,1,138.0,3.73,3.0,2.0,B,13,13,18.0,18.0,0,0,0,0.0
18,F,BGD 1,Y,Chemistry,590.0,200508,CHEM 1211,A,CHEM 1211L,A,FREN 1001,A,MATH 1113,A,200602,ENGL 1102,A,FREN 1002,A,MATH 1113,A,Off Campus,1,69.0,4.0,2.0,3.0,B,13,13,15.0,15.0,0,1151640,1474560,-438180.0
18,F,BGD 1,Y,Pre-Engineering/RETP,1110.0,200608,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,MATH 1113,A,200702,ENGL 1102,A,MATH 1131,A,POLS 1101,A,On Campus,1,0.0,3.57,3.0,2.0,B,16,16,16.0,16.0,861720,1176420,314700,405060.0
18,F,BGD 1,N,Early Childhood Education,1220.0,200608,CHEM 1211,A,CHEM 1211L,A,HIST 2112,A,POLS 1101,A,200702,ARTH 1100,A,COMM 1110H,A,ENVS 1105,A,Off Campus,1,69.0,4.0,3.0,3.0,B,13,13,16.0,16.0,0,0,0,0.0
18,F,BGD 1,Y,Biology,1300.0,200608,CHEM 1211,A,CHEM 1211L,A,MATH 1113,A,THEA 1100,A,200702,COMM 1110,A,MATH 1131,A,POLS 1101,B,On Campus,1,90.0,3.81,3.0,3.0,B,13,13,15.0,15.0,0,0,0,0.0
18,F,BGD 1,Y,Pre-Engineering/RETP,640.0,200708,CHEM 1211,A,CHEM 1211L,A,HIST 1111,A,MATH 1113,A,200802,HIST 2111,A,MATH 1131,A,POLS 1101,B,On Campus,1,150.0,3.9,3.0,3.0,B,17,17,15.0,15.0,0,0,0,0.0
18,F,BGD 3,Y,Biology,990.0,200808,CHEM 1211,A,CHEM 1211L,A,HIST 1111,A,MUSC 1100,A,200902,COMM 1110,A,ENGL 1102,A,ENGL 1101,B,Off Campus,1,69.0,4.0,3.0,3.0,B,13,13,14.0,14.0,0,0,0,0.0
17,F,BGD 3,Y,Pre-Engineering/RETP,1110.0,200808,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,HIST 2111,A,200902,ARTH 1100,A,ENGL 1102,A,MATH 1113,A,Off Campus,1,0.0,4.0,3.0,2.0,B,15,15,13.0,13.0,849660,1255740,406080,502080.0
18,F,BGD 3,Y,Biology,1070.0,200908,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,MUSC 1100,A,201002,BIOL 1215K,A,MATH 1131,A,ENGL 1102,B,On Campus,1,150.0,4.0,2.0,3.0,B,16,16,16.0,16.0,0,1410180,1439460,-921300.0
18,F,BGD 1,Y,Biology,1220.0,201008,CHEM 1211,A,CHEM 1211L,A,MATH 1111,A,ENGL 1101,A,201102,BIOL 1215K,A,ENGL 1102,A,ITDS 1145,A,Off Campus,1,69.0,3.92,2.0,2.0,B,14,14,14.0,14.0,0,0,0,0.0
18,F,BGD 3,Y,Music Performance,530.0,200508,COMM 1110,A,ENGL 1101,A,FREN 1001,A,MUSC 1100,A,200602,ENGL 1102,A,FREN 2001,A,ITDS 2735,A,Off Campus,1,188.0,3.43,3.0,3.0,B,14,14,15.0,15.0,0,1146420,1254840,-408180.0
18,F,BGD 1,Y,Undeclared,640.0,200508,COMM 1110,A,ENGL 1101,A,HIST 2111,A,LEAD 1705,A,200602,ENGL 1102,A,MATH 1111,A,MUSC 1100,A,On Campus,0,138.0,3.6,3.0,3.0,B,18,18,14.0,14.0,0,0,0,0.0
17,F,BGD 1,Y,Undeclared,590.0,200508,COMM 1110,A,MATH 1111,A,POLS 1101H,A,ENGL 1101,A,200602,ARTH 1100,A,SPAN 1001,A,POLS 1101,B,Off Campus,1,0.0,4.0,3.0,2.0,B,14,14,17.0,14.0,0,0,0,0.0
19,M,BGD 1,Y,Music Performance,590.0,200508,COMM 1110,A,ENGL 1101,A,LEAD 1705,A,MUSC 1100,A,200602,ENGL 1102,A,POLS 1101,A,ITDS 2735,A,Off Campus,1,90.0,3.96,3.0,3.0,B,15,15,17.0,17.0,0,0,0,0.0
18,M,BGD 1,Y,Music Performance,1220.0,200508,COMM 1110,A,ENGL 1101,A,MUSC 1100,A,MUSC 1100,A,200602,ENGL 1102,A,POLS 1101,A,ITDS 2735,A,Off Campus,1,150.0,2.97,3.0,2.0,B,15,15,16.0,16.0,0,0,0,0.0
18,F,BGD 1,Y,Art,1030.0,200508,COMM 1110,A,ENGL 1101,A,PSYC 1101,A,POLS 1101,A,200602,ITDS 2726,A,ITDS 2727,A,COMM 1110,A,Off Campus,1,69.0,3.58,3.0,3.0,B,15,15,7.0,7.0,0,0,0,0.0
18,F,BGD 1,N,Music Performance,1260.0,200508,COMM 1110,A,FREN 1002,A,POLS 1101H,A,MUSC 1100,A,200602,ENGL 1102,A,FREN 2001,A,ITDS 2735,A,Off Campus,1,614.0,3.9,3.0,3.0,B,17,17,19.0,19.0,0,224640,0,-6000.0
18,F,BGD 1,Y,Early Childhood Education,640.0,200608,COMM 1110,A,ENGL 1101,A,MATH 1101,A,THEA 1100,A,200702,ENGL 1102,A,ENVS 1105,A,ITDS 2735,A,Off Campus,1,69.0,3.79,3.0,3.0,B,16,16,15.0,15.0,0,0,0,0.0
18,F,BGD 1,Y,Chemistry,1030.0,200608,COMM 1110,A,ENGL 1102,A,LEAD 1705,A,POLS 1101,A,200702,ARTH 1100,A,ECON 2105,A,HIST 2112,A,On Campus,1,69.0,4.0,1.0,2.0,B,15,15,15.0,15.0,1165740,1176420,10680,587580.0
18,F,BGD 1,Y,Early Childhood Education,590.0,200608,COMM 1110,A,ENGL 1101,A,ITDS 2749,A,MATH 1113,A,200702,ENGL 1102,A,HIST 2111,A,MATH 1125,A,Off Campus,1,0.0,3.6,3.0,3.0,B,14,14,17.0,17.0,15180,1504980,1489800,-283980.0
18,F,BGD 1,Y,Psychology,1150.0,200608,COMM 1110,A,ENGL 1101,A,HIST 2112,A,PSYC 1101,A,200702,ARTH 1100,A,ENGL 1102,A,ITDS 2726,A,Off Campus,0,90.0,3.54,3.0,2.0,B,15,15,15.0,15.0,355200,1176420,821220,56040.0
17,F,BGD 1,Y,English Language/Literature,1340.0,200608,COMM 1110,A,ENGL 1102,A,THEA 1100,A,POLS 1101,A,200702,ECON 2106,A,FREN 1002,A,POLS 1101,B,Off Campus,1,69.0,3.26,3.0,3.0,B,15,15,12.0,12.0,0,0,0,0.0
18,F,BGD 1,Y,Joint Enrollment - Accel,1070.0,200708,COMM 1110,A,ENGL 2111,A,HIST 1112,A,PSYC 1101,A,200802,ECON 2106,A,SPAN 1001,A,POLS 1101,A,Off Campus,1,90.0,4.0,2.0,3.0,B,16,16,13.0,13.0,0,199440,519840,-200640.0
18,F,BGD 1,Y,Accounting,1070.0,200708,COMM 1110,A,ENVS 1105,A,PSYC 1101,A,ENGL 1101,A,200802,ECON 2106,A,ENGL 1102,A,HIST 2112,A,Off Campus,1,69.0,4.0,2.0,2.0,B,12,12,12.0,12.0,1297440,1297440,0,438960.0
18,F,BGD 1,Y,Psychology,990.0,200708,COMM 1110,A,ENGL 1101,A,PSYC 1101,A,POLS 1101,A,200802,ENGL 1102,A,HIST 2112,A,MATH 1113,A,Off Campus,1,0.0,3.46,3.0,3.0,B,15,15,16.0,16.0,0,326880,0,-326880.0
18,F,BGD 1,Y,Accounting,1110.0,200708,COMM 1110,A,ENGL 1101,A,ITDS 2735,A,MATH 1113,A,200802,ECON 2105,A,ENGL 1102,A,THEA 1100,A,Off Campus,1,0.0,3.93,4.0,2.0,B,12,12,15.0,15.0,1285860,1285860,0,655380.0
18,F,BGD 6,Y,Biology,1070.0,200808,COMM 1110,A,ENGL 1101,A,HIST 2112,A,POLS 1101,A,200902,MATH 1111,A,POLS 2401,A,ENGL 1101,B,Off Campus,1,69.0,3.93,1.0,1.0,B,12,12,15.0,15.0,1255740,1255740,0,624300.0
18,F,BGD 1,Y,Criminal Justice,950.0,200908,COMM 1110,A,HIST 1111,A,MATH 1101,A,ARTH 1100,A,201002,ENGL 1102,A,HIST 2112,A,MATH 1113,A,On Campus,1,69.0,3.67,2.0,3.0,B,15,15,15.0,13.0,1299360,1418100,118740,237480.0
18,F,BGD 1,Y,Theatre Arts,1260.0,200908,COMM 1110,A,HIST 2111,A,THEA 1100,B,ARTH 1100I,A,201002,BIOL 1215K,A,POLS 1101,A,ENGL 1102,B,On Campus,1,150.0,2.9,3.0,2.0,B,13,13,12.0,12.0,806760,1418100,611340,222300.0
18,F,BGD 1,Y,Psychology,530.0,200908,COMM 1110,A,ENGL 1101,A,ITDS 2749,A,MATH 1101,A,201002,BIOL 1215K,A,STAT 1127,A,POLS 1101,A,On Campus,1,150.0,3.63,2.0,3.0,B,15,15,16.0,16.0,1360620,1418100,57480,124200.0
18,F,BGD 1,Y,History and Secondary Ed,1340.0,200908,COMM 1110,A,FREN 1002,A,HIST 1112,A,ITDS 2749,A,201002,GEOG 1101I,A,FREN 2001,A,HIST 2112,A,On Campus,1,90.0,4.0,3.0,3.0,B,13,13,18.0,18.0,0,0,0,0.0
18,F,BGD 1,Y,Early Childhood Education,1190.0,201008,COMM 1110,A,HIST 2111,A,ITDS 2749,A,SOCI 1101,A,201102,ENGL 1102,A,ITDS 2735,A,MATH 1101,A,Off Campus,0,69.0,3.8,3.0,2.0,B,14,10,12.0,12.0,0,0,0,0.0
18,M,BGD 1,Y,Undeclared,1190.0,201008,COMM 1110,A,ENGL 1101,A,MATH 1111,A,ENGL 1101,A,201102,CHEM 1151,A,CHEM 1151L,A,ENGL 1102,A,Off Campus,1,0.0,4.0,3.0,3.0,B,14,14,16.0,16.0,0,150540,0,-139140.0
18,F,BGD 1,N,Undeclared,1190.0,201008,COMM 1110,A,HIST 2112,A,PSYC 1101,A,ENGL 1101,A,201102,BIOL 1215K,A,ENGL 1101,A,POLS 1101,A,Off Campus,1,69.0,3.75,3.0,2.0,B,13,9,12.0,12.0,0,0,0,0.0
18,M,BGD 1,Y,Mathematics,1190.0,200908,COMM 1110H,A,ENGL 1101,A,ITDS 2726H,A,MATH 2115,A,201002,ENGL 1102,A,MATH 1132,A,POLS 1101,A,Off Campus,1,69.0,3.75,2.0,2.0,B,13,13,16.0,16.0,0,0,0,0.0
18,M,BGD 1,Y,History,1380.0,200908,COMM 1110H,A,ENGL 1101,A,ITDS 2726H,A,MUSC 1100,A,201002,ANTH 1107,A,MATH 1125,A,SPAN 1001,A,Off Campus,1,69.0,4.0,3.0,3.0,B,16,16,14.0,14.0,0,0,0,0.0
17,F,BGD 1,Y,Pre-Nursing,1150.0,201008,CPSC 1105,A,CHEM 1151,A,CHEM 1151L,A,PSYC 1101,A,201102,ENGL 1102,A,MATH 1101,A,SOCI 1101,A,Off Campus,1,69.0,4.0,4.0,2.0,B,12,12,13.0,13.0,0,0,0,0.0
18,F,BGD 1,Y,Undeclared,990.0,201008,CPSC 1105,A,BIOL 1215K,A,HIST 2112,A,PSYC 1101,A,201102,ENGL 1102,A,GEOG 1101I,A,ITDS 1145,A,Off Campus,1,0.0,3.9,4.0,3.0,B,16,16,14.0,14.0,0,0,0,0.0
18,M,BGD 6,Y,Engineering Studies,1150.0,200508,CPSC 1301,A,CHEM 1211,A,CHEM 1211L,A,CHEM 1151L,A,200602,ENGL 1101,A,HIST 2112,A,MATH 1131,A,Off Campus,1,0.0,3.6,2.0,3.0,B,13,13,16.0,16.0,0,0,0,0.0
18,M,BGD 1,Y,Computer Science - Systems,1190.0,200508,CPSC 1301,A,ENGL 1101,A,ENGL 1101,B,CPSC 1301,A,200602,HIST 2112,A,MATH 1113,A,MUSC 1100,A,Off Campus,1,69.0,3.56,2.0,3.0,B,14,14,15.0,15.0,0,0,0,0.0
18,M,BGD 1,Y,Computer Science - Systems,1260.0,200708,CPSC 1301,A,CPSC 1301L,A,COMM 1110,A,ENGL 1102,A,200802,ASTR 1105,A,HIST 2112,A,MATH 1131,A,On Campus,1,59.0,4.0,3.0,2.0,B,16,16,16.0,16.0,0,0,0,0.0
18,F,BGD 1,Y,Chemistry,1150.0,200508,ECON 2105,A,ENGL 1101,A,HIST 2111,A,MUSC 1100,A,200602,ENGL 1102,A,HIST 2112,A,MATH 1113,A,On Campus,1,69.0,4.0,3.0,3.0,B,15,15,13.0,13.0,0,0,0,0.0
18,M,BGD 4,Y,Music Performance,1190.0,200808,ECON 2105,A,MATH 1113,A,ENGL 1101,B,MUSC 1100,A,200902,CPSC 1105,A,ITDS 2748,A,POLS 1101,B,Off Campus,1,150.0,4.0,3.0,3.0,B,16,16,16.0,16.0,0,0,0,0.0
18,M,BGD 1,Y,Undeclared,990.0,201008,ECON 2105,A,HIST 2112,A,ITDS 1155,A,ITDS 2735,A,201102,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,Off Campus,1,69.0,3.53,3.0,3.0,B,13,13,13.0,13.0,0,150540,0,-139140.0
18,F,BGD 1,Y,Undeclared,1150.0,201008,ECON 2105,A,SOCI 1101,A,THEA 1100,A,ENGL 1101,A,201102,COMM 1110,A,ITDS 1145,A,ENGL 1102,B,Off Campus,1,69.0,4.0,3.0,3.0,B,15,15,15.0,15.0,0,301080,752160,-278280.0
18,F,BGD 1,N,Music Performance,1070.0,200708,ECON 2106,A,ENGL 1102,A,ENGL 1101,B,Unknown,C,200802,COMM 1110H,A,MUSC 1100,A,COMM 1110,A,Off Campus,1,997.0,4.0,3.0,3.0,B,14,13,16.0,16.0,0,902760,2493720,-216000.0
18,F,BGD 3,Y,Pre-Business,990.0,201008,ECON 2106,A,ENGL 1101,A,HIST 2111,A,THEA 1100,A,201102,COMM 1110I,A,ENGL 1102,A,ENGL 2136,A,Off Campus,1,69.0,3.78,2.0,3.0,B,15,15,15.0,15.0,0,0,0,0.0
18,M,BGD 3,Y,Political Science,990.0,200508,ENGL 1101,A,SPAN 1002,A,POLS 1101,A,COMM 1110,A,200602,COMM 1110,A,ENGL 1102,A,ENGL 1102,B,On Campus,1,0.0,3.92,2.0,3.0,B,13,13,12.0,12.0,1146420,1146420,0,447240.0
18,F,BGD 6,Y,Undeclared,1380.0,200508,ENGL 1101,A,MATH 1131,A,ENGL 1101,B,ENGL 1101,A,200602,ENGL 1102,A,MATH 1132,A,POLS 1101,B,Off Campus,0,69.0,3.93,3.0,3.0,B,16,16,15.0,15.0,0,0,0,0.0
18,F,BGD 1,Y,Management,1150.0,200508,ENGL 1101,A,ITDS 2735,A,ENGL 1101,B,COMM 1110,A,200602,ARTH 1100,A,ENGL 1102,A,ITDS 1156,A,On Campus,1,69.0,3.33,4.0,2.0,B,12,12,13.0,13.0,0,0,0,0.0
18,M,BGD 1,Y,Pre-Engineering/RETP,1030.0,200608,ENGL 1101,A,MATH 1131,A,THEA 1100,A,COMM 1110,A,200702,ENGL 1102,A,HIST 2112,A,MATH 1132,A,Off Campus,1,69.0,4.0,3.0,3.0,B,12,12,13.0,13.0,0,0,0,0.0
18,M,BGD 1,Y,Theatre Education,1150.0,200608,ENGL 1101,A,HIST 2112,A,THEA 1100,A,COMM 1110,A,200702,ENGL 1102,A,MATH 1101,A,ENGL 1102,B,Off Campus,1,181.0,3.8,3.0,3.0,B,14,14,17.0,17.0,0,0,0,0.0
19,M,BGD 1,Y,Music Performance,640.0,200608,ENGL 1101,A,MATH 1113,A,ENGL 1101,B,Unknown,C,200702,ENGL 1102,A,MUSC 1100,A,ECON 2105,B,Off Campus,1,69.0,3.0,3.0,3.0,B,12,12,12.0,12.0,0,0,0,0.0
18,M,BGD 1,Y,Marketing,1070.0,200708,ENGL 1101,A,MUSC 1100,A,COMM 1110,A,ENGL 1101,A,200802,ENGL 1102,A,HIST 2111,A,MATH 1111,A,Off Campus,1,69.0,3.0,3.0,3.0,B,13,9,12.0,12.0,0,0,0,0.0
18,F,BGD 1,Y,Undeclared,990.0,200708,ENGL 1101,A,MATH 1111,A,MUSC 1100,A,SPAN 1002,A,200802,ENGL 1102,A,HIST 2112,A,MATH 1113,A,Off Campus,1,69.0,4.0,3.0,3.0,B,15,15,15.0,15.0,0,0,0,0.0
18,F,BGD 3,Y,Communication,950.0,200708,ENGL 1101,A,HIST 2111,A,THEA 1100,A,COMM 1110,A,200802,COMM 1110,A,MATH 1101,A,SPAN 1001,A,On Campus,1,150.0,3.61,2.0,3.0,B,13,13,17.0,17.0,1192380,1245480,53100,324000.0
18,F,BGD 1,Y,Undeclared,1190.0,200808,ENGL 1101,A,HIST 2112,A,MATH 1113,A,ENGL 1101,A,200902,CPSC 1105,A,ENGL 1102,A,GEOL 1110,A,Off Campus,1,69.0,3.86,2.0,3.0,B,15,15,15.0,15.0,0,0,0,0.0
18,F,BGD 1,Y,Communication,950.0,200808,ENGL 1101,A,LEAD 1705,A,THEA 1100,A,POLS 1101,A,200902,COMM 1110,A,ENGL 1102,A,HIST 2112,A,Off Campus,1,69.0,4.0,2.0,2.0,B,15,11,16.0,16.0,0,0,0,0.0
19,M,BGD 1,Y,Music Education,1190.0,200808,ENGL 1101,A,ITDS 2735,A,MUSC 1100,A,MUSC 1100,A,200902,ENGL 1102,A,PHYS 1125,A,ITDS 2735,A,Off Campus,1,150.0,3.75,3.0,3.0,B,14,14,16.0,16.0,0,1306020,2402220,-285720.0
18,F,BGD 1,Y,Undeclared,1220.0,200808,ENGL 1101,A,HIST 2111,A,MATH 1113,A,MUSC 1100,A,200902,COMM 1110,A,ENGL 1102,A,MATH 1131,A,On Campus,0,69.0,3.93,2.0,2.0,B,15,15,16.0,16.0,0,0,0,0.0
17,F,BGD 1,Y,Undeclared,1150.0,200808,ENGL 1101,A,HIST 2112,A,MATH 1113,A,ENGL 1101,A,200902,ARTH 1100,A,CHEM 1151,A,CHEM 1151L,A,Off Campus,0,0.0,3.86,3.0,3.0,B,13,13,12.0,12.0,0,1264860,1471380,-347580.0
18,F,BGD 4,Y,Undeclared,1220.0,200908,ENGL 1101,A,HIST 1112,A,MATH 1113,A,SPAN 1001,A,201002,ANTH 1105I,A,BIOL 1215K,A,ENGL 1102,A,Off Campus,1,69.0,3.3,2.0,2.0,B,15,15,16.0,16.0,0,1409460,1572540,-417420.0
