STUDENT IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_MAJOR,STDNT_MINOR,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,CORE_COURSE_NAME_1_F,CORE_COURSE_GRADE_1_F,CORE_COURSE_NAME_2_F,CORE_COURSE_GRADE_2_F,CORE_COURSE_NAME_3_F,CORE_COURSE_GRADE_3_F,SECOND_TERM,CORE_COURSE_NAME_1_S,CORE_COURSE_GRADE_1_S,CORE_COURSE_NAME_2_S,CORE_COURSE_GRADE_2_S,CORE_COURSE_NAME_3_S,CORE_COURSE_GRADE_3_S,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,HIGH_SCHL_NAME,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_DESC,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED
7978363,18,M,BGD 1,N,N,Criminal Justice,N,1220.0,200708,ARTH 1100,A,ENGL 1101,A,HIST 1111,A,200802,ENGL 1102,A,ENVS 1105,A,HIST 2111,A,Off Campus,1,4501.0,3.34,SCHOOL 342,College/Beyond,College/Beyond,Bachelors,15,15,18.0,15.0,203040,1264860,1061820,203040.0
7884573,18,F,BGD 1,Y,N,Undeclared,N,1070.0,200708,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,200802,ECON 2106,A,ENGL 1102,A,HIST 1112,A,Off Campus,0,69.0,4.0,SCHOOL 11,Middle School/Junior High,High School,Bachelors,16,16,16.0,16.0,0,1189920,5163240,-326880.0
7915174,18,F,BGD 6,Y,N,Biology,N,1260.0,200808,ARTH 1100,A,ENGL 1102,A,MATH 1132,A,200902,SPAN 1001,A,STAT 1127,A,ENGL 1101,B,Off Campus,1,69.0,3.93,SCHOOL 2,No Information,No Information,Bachelors,17,17,13.0,13.0,0,0,0,0.0
7793763,17,M,BGD 1,Y,N,Psychology,N,1220.0,200808,ARTH 1100,A,ENGL 1101,A,POLS 2401,A,200902,ENGL 1102,A,HIST 2112,A,MATH 1111,A,Off Campus,1,0.0,4.0,SCHOOL 130,College/Beyond,High School,Bachelors,15,15,16.0,16.0,0,1255740,1344360,-347580.0
7856147,18,F,BGD 1,Y,N,Theatre Arts,N,1260.0,201008,BIOL 1125,A,COMM 1110,A,MATH 1111,B,201102,MATH 1101,A,THEA 1100,A,ENGL 1102,B,On Campus,1,69.0,3.96,SCHOOL 28,College/Beyond,College/Beyond,Bachelors,15,15,18.0,18.0,0,0,0,0.0
7963414,18,F,BGD 1,Y,N,Theatre Arts,N,1220.0,201008,BIOL 1125,A,COMM 1110,A,MATH 1113,A,201102,ARTH 1100,A,HIST 2112,A,POLS 1101H,A,On Campus,1,150.0,3.35,SCHOOL 19,High School,College/Beyond,Bachelors,18,18,15.0,15.0,0,0,0,0.0
7824708,18,F,BGD 1,Y,N,Undeclared,N,1070.0,201008,BIOL 1125,A,ECON 2105,A,ENGL 1101,A,201102,BIOL 1215K,A,ENGL 1102,A,HIST 2111,A,Off Campus,1,69.0,3.26,SCHOOL 98,High School,College/Beyond,Bachelors,12,12,17.0,13.0,0,0,0,0.0
8004193,17,M,BGD 1,N,N,Biology,N,1030.0,200908,BIOL 1215K,A,ITDS 2735,A,STAT 1127,A,201002,BIOL 1225K,A,CHEM 1211,A,CHEM 1211L,A,Off Campus,0,661.0,3.5,SCHOOL 14,College/Beyond,High School,Bachelors,14,14,14.0,14.0,1083000,1324500,241500,476580.0
7847769,18,M,BGD 6,Y,N,Biology,N,1110.0,201008,BIOL 1215K,A,COMM 1110,A,ENGL 1101,A,201102,BIOL 1225K,A,CHEM 1211,A,CHEM 1211L,A,On Campus,1,150.0,2.4,SCHOOL 121,College/Beyond,College/Beyond,Bachelors,17,13,17.0,17.0,0,0,0,0.0
7955834,18,F,BGD 1,N,N,Nursing,N,990.0,200508,CHEM 1151,A,CHEM 1151L,A,MATH 1111,A,200602,HIST 2112,A,MUSC 1100,A,HIST 2112,A,Off Campus,1,0.0,3.71,SCHOOL 15,High School,High School,Bachelors,12,12,13.0,13.0,567000,835680,268680,409500.0
7835444,18,F,BGD 3,Y,N,Nursing,N,910.0,200608,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,200702,ENGL 1102,A,PSYC 1101,A,ENGL 1102,B,On Campus,1,138.0,3.72,SCHOOL 283,College/Beyond,College/Beyond,Bachelors,12,12,13.0,13.0,0,1176420,1875240,-299160.0
7879984,18,F,BGD 1,Y,N,Undeclared,N,1300.0,200608,CHEM 1151,A,CHEM 1151L,A,ECON 2105,A,200702,COMM 1110H,A,ENGL 1102,A,MUSC 1100,A,On Campus,1,283.0,3.73,SCHOOL 304,High School,College/Beyond,Bachelors,15,15,13.0,13.0,0,0,0,0.0
8033729,18,F,BGD 1,Y,N,Nursing,N,1190.0,200708,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,200802,ARTH 1100,A,COMM 1110,A,ENGL 1102,A,Off Campus,1,69.0,3.5,SCHOOL 2,College/Beyond,College/Beyond,Bachelors,13,13,16.0,16.0,0,1189920,5328600,-326880.0
8007842,18,F,BGD 1,Y,N,Pre-Nursing,N,590.0,200808,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,200902,CPSC 1105,A,COMM 1110,A,ENGL 1102,A,Off Campus,0,69.0,3.12,SCHOOL 130,High School,High School,Bachelors,15,15,15.0,15.0,0,0,0,0.0
7840904,18,F,BGD 1,Y,N,Pre-Nursing,N,1300.0,200808,CHEM 1151,A,CHEM 1151L,A,COMM 1110,A,200902,ARTH 1100,A,ENGL 1102,A,PSYC 1101,A,Off Campus,1,69.0,4.0,SCHOOL 130,College/Beyond,High School,Bachelors,15,15,17.0,17.0,0,403680,0,-529620.0
7884297,18,F,BGD 3,Y,N,Nursing,N,1110.0,200808,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,200902,ARTH 1100,A,COMM 1110,A,ENGL 1102,A,On Campus,1,138.0,3.73,SCHOOL 61,College/Beyond,High School,Bachelors,13,13,18.0,18.0,0,0,0,0.0
8035107,18,F,BGD 1,Y,N,Chemistry,N,590.0,200508,CHEM 1211,A,CHEM 1211L,A,FREN 1001,A,200602,ENGL 1102,A,FREN 1002,A,MATH 1113,A,Off Campus,1,69.0,4.0,SCHOOL 2,High School,College/Beyond,Bachelors,13,13,15.0,15.0,0,1151640,1474560,-438180.0
7988952,18,F,BGD 1,Y,N,Pre-Engineering/RETP,N,1110.0,200608,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,200702,ENGL 1102,A,MATH 1131,A,POLS 1101,A,On Campus,1,0.0,3.57,SCHOOL 229,No Information,High School,Bachelors,16,16,16.0,16.0,861720,1176420,314700,405060.0
7877120,18,F,BGD 1,N,N,Early Childhood Education,N,1220.0,200608,CHEM 1211,A,CHEM 1211L,A,HIST 2112,A,200702,ARTH 1100,A,COMM 1110H,A,ENVS 1105,A,Off Campus,1,69.0,4.0,SCHOOL 148,No Information,No Information,Bachelors,13,13,16.0,16.0,0,0,0,0.0
7889681,18,F,BGD 1,Y,N,Biology,N,1300.0,200608,CHEM 1211,A,CHEM 1211L,A,MATH 1113,A,200702,COMM 1110,A,MATH 1131,A,POLS 1101,B,On Campus,1,90.0,3.81,SCHOOL 298,No Information,No Information,Bachelors,13,13,15.0,15.0,0,0,0,0.0
7906085,18,F,BGD 1,Y,N,Pre-Engineering/RETP,N,640.0,200708,CHEM 1211,A,CHEM 1211L,A,HIST 1111,A,200802,HIST 2111,A,MATH 1131,A,POLS 1101,B,On Campus,1,150.0,3.9,SCHOOL 175,College/Beyond,College/Beyond,Bachelors,17,17,15.0,15.0,0,0,0,0.0
7960831,18,F,BGD 3,Y,N,Biology,N,990.0,200808,CHEM 1211,A,CHEM 1211L,A,HIST 1111,A,200902,COMM 1110,A,ENGL 1102,A,ENGL 1101,B,Off Campus,1,69.0,4.0,SCHOOL 26,College/Beyond,College/Beyond,Bachelors,13,13,14.0,14.0,0,0,0,0.0
7979908,17,F,BGD 3,Y,N,Pre-Engineering/RETP,N,1110.0,200808,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,200902,ARTH 1100,A,ENGL 1102,A,MATH 1113,A,Off Campus,1,0.0,4.0,SCHOOL 5,College/Beyond,High School,Bachelors,15,15,13.0,13.0,849660,1255740,406080,502080.0
7792083,18,F,BGD 3,Y,N,Biology,N,1070.0,200908,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,201002,BIOL 1215K,A,MATH 1131,A,ENGL 1102,B,On Campus,1,150.0,4.0,SCHOOL 121,High School,College/Beyond,Bachelors,16,16,16.0,16.0,0,1410180,1439460,-921300.0
7872470,18,F,BGD 1,Y,N,Biology,N,1220.0,201008,CHEM 1211,A,CHEM 1211L,A,MATH 1111,A,201102,BIOL 1215K,A,ENGL 1102,A,ITDS 1145,A,Off Campus,1,69.0,3.92,SCHOOL 11,High School,High School,Bachelors,14,14,14.0,14.0,0,0,0,0.0
7912174,18,F,BGD 3,Y,N,Music Performance,N,530.0,200508,COMM 1110,A,ENGL 1101,A,FREN 1001,A,200602,ENGL 1102,A,FREN 2001,A,ITDS 2735,A,Off Campus,1,188.0,3.43,SCHOOL 88,College/Beyond,College/Beyond,Bachelors,14,14,15.0,15.0,0,1146420,1254840,-408180.0
7799972,18,F,BGD 1,Y,N,Undeclared,N,640.0,200508,COMM 1110,A,ENGL 1101,A,HIST 2111,A,200602,ENGL 1102,A,MATH 1111,A,MUSC 1100,A,On Campus,0,138.0,3.6,SCHOOL 131,No Information,No Information,Bachelors,18,18,14.0,14.0,0,0,0,0.0
7980894,17,F,BGD 1,Y,N,Undeclared,N,590.0,200508,COMM 1110,A,MATH 1111,A,POLS 1101H,A,200602,ARTH 1100,A,SPAN 1001,A,POLS 1101,B,Off Campus,1,0.0,4.0,SCHOOL 130,College/Beyond,High School,Bachelors,14,14,17.0,14.0,0,0,0,0.0
7774359,19,M,BGD 1,Y,N,Music Performance,N,590.0,200508,COMM 1110,A,ENGL 1101,A,LEAD 1705,A,200602,ENGL 1102,A,POLS 1101,A,ITDS 2735,A,Off Campus,1,90.0,3.96,SCHOOL 33,College/Beyond,College/Beyond,Bachelors,15,15,17.0,17.0,0,0,0,0.0
7924473,18,M,BGD 1,Y,N,Music Performance,N,1220.0,200508,COMM 1110,A,ENGL 1101,A,MUSC 1100,A,200602,ENGL 1102,A,POLS 1101,A,ITDS 2735,A,Off Campus,1,150.0,2.97,SCHOOL 128,College/Beyond,High School,Bachelors,15,15,16.0,16.0,0,0,0,0.0
7979978,18,F,BGD 1,Y,N,Art,N,1030.0,200508,COMM 1110,A,ENGL 1101,A,PSYC 1101,A,200602,ITDS 2726,A,ITDS 2727,A,COMM 1110,A,Off Campus,1,69.0,3.58,SCHOOL 8,No Information,No Information,Bachelors,15,15,7.0,7.0,0,0,0,0.0
7888437,18,F,BGD 1,N,N,Music Performance,N,1260.0,200508,COMM 1110,A,FREN 1002,A,POLS 1101H,A,200602,ENGL 1102,A,FREN 2001,A,ITDS 2735,A,Off Campus,1,614.0,3.9,SCHOOL 223,No Information,No Information,Bachelors,17,17,19.0,19.0,0,224640,0,-6000.0
7817369,18,F,BGD 1,Y,N,Early Childhood Education,N,640.0,200608,COMM 1110,A,ENGL 1101,A,MATH 1101,A,200702,ENGL 1102,A,ENVS 1105,A,ITDS 2735,A,Off Campus,1,69.0,3.79,SCHOOL 2,No Information,No Information,Bachelors,16,16,15.0,15.0,0,0,0,0.0
7807175,18,F,BGD 1,Y,N,Chemistry,N,1030.0,200608,COMM 1110,A,ENGL 1102,A,LEAD 1705,A,200702,ARTH 1100,A,ECON 2105,A,HIST 2112,A,On Campus,1,69.0,4.0,SCHOOL 27,Middle School/Junior High,High School,Bachelors,15,15,15.0,15.0,1165740,1176420,10680,587580.0
7800120,18,F,BGD 1,Y,N,Early Childhood Education,N,590.0,200608,COMM 1110,A,ENGL 1101,A,ITDS 2749,A,200702,ENGL 1102,A,HIST 2111,A,MATH 1125,A,Off Campus,1,0.0,3.6,SCHOOL 130,College/Beyond,College/Beyond,Bachelors,14,14,17.0,17.0,15180,1504980,1489800,-283980.0
7911769,18,F,BGD 1,Y,N,Psychology,N,1150.0,200608,COMM 1110,A,ENGL 1101,A,HIST 2112,A,200702,ARTH 1100,A,ENGL 1102,A,ITDS 2726,A,Off Campus,0,90.0,3.54,SCHOOL 52,College/Beyond,High School,Bachelors,15,15,15.0,15.0,355200,1176420,821220,56040.0
7812855,17,F,BGD 1,Y,N,English Language/Literature,Theatre Arts,1340.0,200608,COMM 1110,A,ENGL 1102,A,THEA 1100,A,200702,ECON 2106,A,FREN 1002,A,POLS 1101,B,Off Campus,1,69.0,3.26,SCHOOL 98,No Information,No Information,Bachelors,15,15,12.0,12.0,0,0,0,0.0
7922706,18,F,BGD 1,Y,N,Joint Enrollment - Accel,N,1070.0,200708,COMM 1110,A,ENGL 2111,A,HIST 1112,A,200802,ECON 2106,A,SPAN 1001,A,POLS 1101,A,Off Campus,1,90.0,4.0,SCHOOL 29,High School,No Information,Bachelors,16,16,13.0,13.0,0,199440,519840,-200640.0
7936910,18,F,BGD 1,Y,N,Accounting,N,1070.0,200708,COMM 1110,A,ENVS 1105,A,PSYC 1101,A,200802,ECON 2106,A,ENGL 1102,A,HIST 2112,A,Off Campus,1,69.0,4.0,SCHOOL 11,High School,High School,Bachelors,12,12,12.0,12.0,1297440,1297440,0,438960.0
7908767,18,F,BGD 1,Y,N,Psychology,N,990.0,200708,COMM 1110,A,ENGL 1101,A,PSYC 1101,A,200802,ENGL 1102,A,HIST 2112,A,MATH 1113,A,Off Campus,1,0.0,3.46,SCHOOL 130,No Information,No Information,Bachelors,15,15,16.0,16.0,0,326880,0,-326880.0
8012125,18,F,BGD 1,Y,N,Accounting,N,1110.0,200708,COMM 1110,A,ENGL 1101,A,ITDS 2735,A,200802,ECON 2105,A,ENGL 1102,A,THEA 1100,A,Off Campus,1,0.0,3.93,SCHOOL 70,Other/Unknown,High School,Bachelors,12,12,15.0,15.0,1285860,1285860,0,655380.0
7920043,18,F,BGD 6,Y,N,Biology,N,1070.0,200808,COMM 1110,A,ENGL 1101,A,HIST 2112,A,200902,MATH 1111,A,POLS 2401,A,ENGL 1101,B,Off Campus,1,69.0,3.93,SCHOOL 130,Middle School/Junior High,Middle School/Junior High,Bachelors,12,12,15.0,15.0,1255740,1255740,0,624300.0
8021841,18,F,BGD 1,Y,N,Criminal Justice,N,950.0,200908,COMM 1110,A,HIST 1111,A,MATH 1101,A,201002,ENGL 1102,A,HIST 2112,A,MATH 1113,A,On Campus,1,69.0,3.67,SCHOOL 20,High School,College/Beyond,Bachelors,15,15,15.0,13.0,1299360,1418100,118740,237480.0
7913009,18,F,BGD 1,Y,N,Theatre Arts,N,1260.0,200908,COMM 1110,A,HIST 2111,A,THEA 1100,B,201002,BIOL 1215K,A,POLS 1101,A,ENGL 1102,B,On Campus,1,150.0,2.9,SCHOOL 184,College/Beyond,High School,Bachelors,13,13,12.0,12.0,806760,1418100,611340,222300.0
8036557,18,F,BGD 1,Y,N,Psychology,N,530.0,200908,COMM 1110,A,ENGL 1101,A,ITDS 2749,A,201002,BIOL 1215K,A,STAT 1127,A,POLS 1101,A,On Campus,1,150.0,3.63,SCHOOL 453,High School,College/Beyond,Bachelors,15,15,16.0,16.0,1360620,1418100,57480,124200.0
7918673,18,F,BGD 1,Y,N,History and Secondary Ed,N,1340.0,200908,COMM 1110,A,FREN 1002,A,HIST 1112,A,201002,GEOG 1101I,A,FREN 2001,A,HIST 2112,A,On Campus,1,90.0,4.0,SCHOOL 72,No Information,No Information,Bachelors,13,13,18.0,18.0,0,0,0,0.0
7889645,18,F,BGD 1,Y,N,Early Childhood Education,N,1190.0,201008,COMM 1110,A,HIST 2111,A,ITDS 2749,A,201102,ENGL 1102,A,ITDS 2735,A,MATH 1101,A,Off Campus,0,69.0,3.8,SCHOOL 5,College/Beyond,High School,Bachelors,14,10,12.0,12.0,0,0,0,0.0
7853296,18,M,BGD 1,Y,N,Undeclared,N,1190.0,201008,COMM 1110,A,ENGL 1101,A,MATH 1111,A,201102,CHEM 1151,A,CHEM 1151L,A,ENGL 1102,A,Off Campus,1,0.0,4.0,SCHOOL 130,No Information,No Information,Bachelors,14,14,16.0,16.0,0,150540,0,-139140.0
7982184,18,F,BGD 1,N,N,Undeclared,N,1190.0,201008,COMM 1110,A,HIST 2112,A,PSYC 1101,A,201102,BIOL 1215K,A,ENGL 1101,A,POLS 1101,A,Off Campus,1,69.0,3.75,SCHOOL 7,College/Beyond,High School,Bachelors,13,9,12.0,12.0,0,0,0,0.0
7832824,18,M,BGD 1,Y,N,Mathematics,N,1190.0,200908,COMM 1110H,A,ENGL 1101,A,ITDS 2726H,A,201002,ENGL 1102,A,MATH 1132,A,POLS 1101,A,Off Campus,1,69.0,3.75,SCHOOL 130,High School,High School,Bachelors,13,13,16.0,16.0,0,0,0,0.0
7804470,18,M,BGD 1,Y,N,History,N,1380.0,200908,COMM 1110H,A,ENGL 1101,A,ITDS 2726H,A,201002,ANTH 1107,A,MATH 1125,A,SPAN 1001,A,Off Campus,1,69.0,4.0,SCHOOL 130,College/Beyond,College/Beyond,Bachelors,16,16,14.0,14.0,0,0,0,0.0
7767164,17,F,BGD 1,Y,N,Pre-Nursing,N,1150.0,201008,CPSC 1105,A,CHEM 1151,A,CHEM 1151L,A,201102,ENGL 1102,A,MATH 1101,A,SOCI 1101,A,Off Campus,1,69.0,4.0,SCHOOL 25,Other/Unknown,High School,Bachelors,12,12,13.0,13.0,0,0,0,0.0
7811151,18,F,BGD 1,Y,N,Undeclared,N,990.0,201008,CPSC 1105,A,BIOL 1215K,A,HIST 2112,A,201102,ENGL 1102,A,GEOG 1101I,A,ITDS 1145,A,Off Campus,1,0.0,3.9,SCHOOL 2,Other/Unknown,College/Beyond,Bachelors,16,16,14.0,14.0,0,0,0,0.0
7767339,18,M,BGD 6,Y,N,Engineering Studies,N,1150.0,200508,CPSC 1301,A,CHEM 1211,A,CHEM 1211L,A,200602,ENGL 1101,A,HIST 2112,A,MATH 1131,A,Off Campus,1,0.0,3.6,SCHOOL 1,High School,College/Beyond,Bachelors,13,13,16.0,16.0,0,0,0,0.0
7924651,18,M,BGD 1,Y,N,Computer Science - Systems,N,1190.0,200508,CPSC 1301,A,ENGL 1101,A,ENGL 1101,B,200602,HIST 2112,A,MATH 1113,A,MUSC 1100,A,Off Campus,1,69.0,3.56,SCHOOL 1,High School,No Information,Bachelors,14,14,15.0,15.0,0,0,0,0.0
7890157,18,M,BGD 1,Y,N,Computer Science - Systems,N,1260.0,200708,CPSC 1301,A,CPSC 1301L,A,COMM 1110,A,200802,ASTR 1105,A,HIST 2112,A,MATH 1131,A,On Campus,1,59.0,4.0,SCHOOL 18,College/Beyond,High School,Bachelors,16,16,16.0,16.0,0,0,0,0.0
7756755,18,F,BGD 1,Y,N,Chemistry,N,1150.0,200508,ECON 2105,A,ENGL 1101,A,HIST 2111,A,200602,ENGL 1102,A,HIST 2112,A,MATH 1113,A,On Campus,1,69.0,4.0,SCHOOL 9,College/Beyond,College/Beyond,Bachelors,15,15,13.0,13.0,0,0,0,0.0
8001580,18,M,BGD 4,Y,N,Music Performance,N,1190.0,200808,ECON 2105,A,MATH 1113,A,ENGL 1101,B,200902,CPSC 1105,A,ITDS 2748,A,POLS 1101,B,Off Campus,1,150.0,4.0,SCHOOL 216,College/Beyond,College/Beyond,Bachelors,16,16,16.0,16.0,0,0,0,0.0
7877781,18,M,BGD 1,Y,N,Undeclared,N,990.0,201008,ECON 2105,A,HIST 2112,A,ITDS 1155,A,201102,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,Off Campus,1,69.0,3.53,SCHOOL 10,College/Beyond,College/Beyond,Bachelors,13,13,13.0,13.0,0,150540,0,-139140.0
7970735,18,F,BGD 1,Y,N,Undeclared,N,1150.0,201008,ECON 2105,A,SOCI 1101,A,THEA 1100,A,201102,COMM 1110,A,ITDS 1145,A,ENGL 1102,B,Off Campus,1,69.0,4.0,SCHOOL 10,College/Beyond,College/Beyond,Bachelors,15,15,15.0,15.0,0,301080,752160,-278280.0
8000195,18,F,BGD 1,N,N,Music Performance,N,1070.0,200708,ECON 2106,A,ENGL 1102,A,ENGL 1101,B,200802,COMM 1110H,A,MUSC 1100,A,COMM 1110,A,Off Campus,1,997.0,4.0,SCHOOL 311,College/Beyond,College/Beyond,Bachelors,14,13,16.0,16.0,0,902760,2493720,-216000.0
7885602,18,F,BGD 3,Y,N,Pre-Business,N,990.0,201008,ECON 2106,A,ENGL 1101,A,HIST 2111,A,201102,COMM 1110I,A,ENGL 1102,A,ENGL 2136,A,Off Campus,1,69.0,3.78,SCHOOL 34,No Information,No Information,Bachelors,15,15,15.0,15.0,0,0,0,0.0
7819389,18,M,BGD 3,Y,N,Political Science,N,990.0,200508,ENGL 1101,A,SPAN 1002,A,POLS 1101,A,200602,COMM 1110,A,ENGL 1102,A,ENGL 1102,B,On Campus,1,0.0,3.92,SCHOOL 43,High School,No Information,Bachelors,13,13,12.0,12.0,1146420,1146420,0,447240.0
7807583,18,F,BGD 6,Y,N,Undeclared,N,1380.0,200508,ENGL 1101,A,MATH 1131,A,ENGL 1101,B,200602,ENGL 1102,A,MATH 1132,A,POLS 1101,B,Off Campus,0,69.0,3.93,SCHOOL 1,No Information,No Information,Bachelors,16,16,15.0,15.0,0,0,0,0.0
8002726,18,F,BGD 1,Y,N,Management,N,1150.0,200508,ENGL 1101,A,ITDS 2735,A,ENGL 1101,B,200602,ARTH 1100,A,ENGL 1102,A,ITDS 1156,A,On Campus,1,69.0,3.33,SCHOOL 9,Other/Unknown,High School,Bachelors,12,12,13.0,13.0,0,0,0,0.0
7925537,18,M,BGD 1,Y,N,Pre-Engineering/RETP,N,1030.0,200608,ENGL 1101,A,MATH 1131,A,THEA 1100,A,200702,ENGL 1102,A,HIST 2112,A,MATH 1132,A,Off Campus,1,69.0,4.0,SCHOOL 10,No Information,No Information,Bachelors,12,12,13.0,13.0,0,0,0,0.0
8012858,18,M,BGD 1,Y,N,Theatre Education,N,1150.0,200608,ENGL 1101,A,HIST 2112,A,THEA 1100,A,200702,ENGL 1102,A,MATH 1101,A,ENGL 1102,B,Off Campus,1,181.0,3.8,SCHOOL 229,College/Beyond,College/Beyond,Bachelors,14,14,17.0,17.0,0,0,0,0.0
7941787,19,M,BGD 1,Y,N,Music Performance,N,640.0,200608,ENGL 1101,A,MATH 1113,A,ENGL 1101,B,200702,ENGL 1102,A,MUSC 1100,A,ECON 2105,B,Off Campus,1,69.0,3.0,SCHOOL 8,No Information,No Information,Bachelors,12,12,12.0,12.0,0,0,0,0.0
8025317,18,M,BGD 1,Y,N,Marketing,N,1070.0,200708,ENGL 1101,A,MUSC 1100,A,COMM 1110,A,200802,ENGL 1102,A,HIST 2111,A,MATH 1111,A,Off Campus,1,69.0,3.0,SCHOOL 11,College/Beyond,College/Beyond,Bachelors,13,9,12.0,12.0,0,0,0,0.0
